Class,SKey,AY,YearAVG,Y1,Y2,Y3,Y4,E1,M1,S1,E2,M2,S2,E3,M3,S3,E4,M4,S4,ET1,MT1,ST1,ET2,MT2,ST2
7,14090,1617,79.291454,85.652025,82.373051,90.675586,94.037205,85.679342,77.333857,88.008,77.703369,80.4195,90.0105,85.053581,91.4224,91.727,88.444809,95.2316,96.5795,82.213448,93.774,89.08,75.926896,93.876,97.52
3,14165,1617,87.24986,92.978084,90.564366,89.18806,78.660401,98.572911,90.8016,90.9,96.593022,92.2758,NULL,88.5002,90.474107,NULL,76.468222,71.133866,NULL,92.185555,52.085,NULL,93.090588,86.875,NULL
3,14223,1617,97.745182,97.182911,97.887623,96.226166,97.402633,100,98.2766,93.831,98.135838,99.3752,NULL,98.0752,98.5625,NULL,100,100,NULL,94.979444,100,NULL,97.997647,100,NULL
3,14270,1617,92.651302,94.688801,91.005603,93.891138,98.302374,98.754611,92.1004,97.498,94.626323,97.7016,NULL,94.4008,99.8125,NULL,100,100,NULL,93.210555,100,NULL,94.618235,100,NULL
3,14299,1617,95.992057,97.989898,98.073063,90.409847,98.092539,99.068505,97.152,97.987,97.685323,98.7752,NULL,96.1336,99.625,NULL,100,100,NULL,94.531666,100,NULL,97.502352,100,NULL
3,14342,1617,89.573726,90.313755,93.276207,83.793564,82.417114,94.946583,90.6012,86.954,91.583544,93.7258,NULL,86.2426,98.78125,NULL,51.296,95.1336,NULL,87.311111,84.7925,NULL,90.039411,100,NULL
3,14347,1617,90.134657,95.913655,96.517996,93.897276,97.361991,100,93.6518,95.274,97.037727,96.1504,NULL,95.317,100,NULL,100,100,NULL,94.024444,100,NULL,95.535294,100,NULL
3,14360,1617,96.801554,97.201276,98.115445,97.03937,98.651355,99.601438,99.2756,98.622,97.71733,98.7252,NULL,97.7324,100,NULL,100,100,NULL,93.589444,100,NULL,98.088235,100,NULL
3,14374,1617,90.156389,93.652544,90.10956,85.68534,94.62659,95.937733,91.9254,88.7695,86.480294,90.026,NULL,84.5738,94.6565,NULL,93.333333,99,NULL,85.887777,96.875,NULL,84.947647,100,NULL
3,14381,1617,89.410912,89.713116,88.090237,85.756919,96.882712,90.6846,86.852,93.1435,87.739632,84.1264,NULL,86.7834,89.924178,NULL,98.518666,98.8,NULL,84.377777,100,NULL,84.284117,100,NULL
3,14383,1617,90.986074,95.622489,93.965658,92.693363,93.612354,98.382944,92.2776,94.244,95.802088,92.101,NULL,92.9172,94.722311,NULL,100,100,NULL,93.613333,100,NULL,92.962941,100,NULL
3,14505,1617,89.089154,92.682331,96.036539,86.540124,97.306195,95.233611,90.9526,92.994,94.535036,97.352,NULL,81.9748,99.25,NULL,97.720889,100,NULL,92.115,100,NULL,93.402941,100,NULL
4,14548,1617,94.249332,96.360641,98.111785,97.165966,95.067021,100,94.2772,100,97.803833,99.0004,99.8,97.530161,99.8,NULL,96.9254,100,NULL,95.197931,100,NULL,97.120555,100,NULL
5,14565,1617,81.446246,79.046169,86.198461,89.409414,92.04527,83.011346,78.042,72.8675,85.783074,85.806,86.105,88.54525,87.7018,93.512,94.247235,97.602,NULL,83.185714,99.256,NULL,84.318275,93.504,NULL
3,14645,1617,97.912,99.075367,97.722634,97.260794,98.322206,100,98.0512,99.616,98.153816,99.5252,NULL,98.6168,99.375,NULL,100,100,NULL,96.042777,100,NULL,98.237647,100,NULL
7,14764,1617,87.80667,93.269812,92.837666,93.022095,94.101221,97.913695,90.908571,92.9375,91.461396,96.814,96.12,91.174696,92.993,97.8105,92.013547,96.6628,96.561,95.504137,99.626,95.85,90.734827,95.56,95.03
3,14779,1617,92.76917,94.331422,95.126562,96.439466,97.734076,99.920783,87.3502,96.036,96.20011,92.8258,NULL,95.2672,99.393,NULL,98.704,100,NULL,93.85,100,NULL,96.621176,100,NULL
8,14780,1617,95.604456,95.563787,97.365979,96.215698,95.616886,96.962209,95.09575,96.6065,96.412457,97.474857,97.81,94.185542,94.782,96.44,94.569309,99.45,88.9305,92.572727,97.5,96.01,96.564827,100,86.28
12,5026,1718,81.694343,80.088677,78.531008,84.172709,80.544094,81.163999,77.008889,NULL,81.226529,79.0055,NULL,84.469136,76.665,81.277,81.56609,80.3945,76.2185,78.495,73.96,74.73,78.877058,71.605,58.78
12,5029,1718,96.326769,93.743427,87.332005,82.053876,92.742943,83.855444,100,NULL,84.306,97.761,NULL,82.243454,92.8215,85.7805,90.118454,95.0325,93.604,84.32,92.73,94.22,82.678823,92.47,88.09
11,5059,1718,82.66322,82.810944,77.356972,75.336581,78.144411,84.605555,80.506,NULL,82.78108,74.98625,77.2669,78.320613,79.9105,60.479,83.725074,88.712,91.213,82.312142,75.37,95.09,82.8692,88.97,93
12,5251,1718,89.629043,86.847227,74.955187,74.309903,71.655433,80.488333,93.162222,NULL,75.704823,78.6855,NULL,81.100181,69.21475,79.3545,77.939272,78.77825,66.8605,72.19,67.555,64.68,71.269411,56.43,63.53
11,5582,1718,93.338034,86.895795,93.985408,96.511235,95.077616,81.81257,76,NULL,94.105909,93.9785,98.4627,93.786318,98.652,98.4445,92.604148,99.113333,97.848,83.939285,97.9,99.37,93.230454,100,99.27
11,5600,1718,67.873498,56.453478,69.857714,78.492901,87.075498,60.591127,48.862,NULL,72.293363,65.98475,79.113,77.285181,88.53325,65.2375,83.830111,91.212,86.6335,71.95625,88.3,92.24,74.70409,88.68,89.21
12,5627,1718,75.619762,74.388284,71.804372,78.919888,78.375035,75.537444,72.76,NULL,74.861117,72.384,NULL,81.673022,71.708,72.7235,78.73234,81.46325,73.937,75.249,66.43,79.23,80.533529,76.27,64.15
11,5766,1718,91.585025,91.956584,95.504317,95.985073,91.583994,82.624707,94.57,NULL,92.386272,96.98175,98.9078,91.824545,98.642,94.581,92.183148,96.864,98.4665,82.164285,91.08,98.87,93.195909,94.95,99.27
12,5792,1718,73.122854,71.896968,67.845886,74.751449,71.570997,74.630111,65.891111,NULL,55.904823,71.212,NULL,79.026272,79.85125,67.1515,71.914227,75.86325,68.6515,80.243,75.12,71.48,58.469411,59.295,54.91
12,5812,1718,86.724195,76.266306,69.292166,70.400326,75.31972,72.910222,87.169524,NULL,73.383705,76.015333,NULL,64.430272,61.739,68.44,65.308909,73.7315,67.816,70.981,79.455,77.67,66.478823,56.24,57.69
11,5836,1718,73.386755,75.978613,76.240857,79.997971,82.530951,77.160408,73.7205,NULL,81.441363,78.9415,84.8494,77.859977,87.32,78.2485,78.28974,89.776,84.061,76.439375,87,91.86,81.070909,90.67,80.67
11,5898,1718,87.365337,87.614381,90.953512,89.303813,81.375384,83.141926,89.13,NULL,90.764413,94.94225,93.6885,88.71084,97.23325,91.816,83.942074,89.367,86.075,79.871428,86.94,90.2,89.6236,91.87,83.4
11,5914,1718,80.915551,83.121692,85.25411,87.111188,90.018934,72.162214,83.84,NULL,84.927207,81.4795,89.424,81.457227,93.1515,83.2755,84.856666,88.418333,95.5505,76.884285,85.27,96.33,84.522272,94.64,95.68
7,16609,1718,72.342246,83.7901,80.239361,90.594355,88.090559,84.866024,86.580571,83.6595,88.022685,74.87225,86.745,88.574517,92.03,92.9545,90.638163,86.021,84.303,84.763103,78.784,93.33,78.303103,83.746,80.55
